level2,code2,level3,code3,level4,code4,URL,ID,Name,Description,CRUD
User,USR,Sign Out,USR30,,1,signout/,USR0101MU01,Sign Out,화면없음 메뉴만 존재,
User,USR,Login,USR20,,1,login/,USR2001MU01,로그인,로그인,C
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/searchDetail,JOB1001PQ02,SW Provisioning 검색,검색 필터링,
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/add,JOB1001FU04,Software Provisioning Job 등록,"대상 노드 선택 및 설치 소프트웨어 선택 후 등록 가능 하며, 등록과 동시에 실행 가능",C
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/searchSoftware,JOB1001PQ05,Software Search,자동설치 소프트웨어 조회 팝업,R
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/attributeDetail,JOB1001PU06,Attribute,속성 변경가능,RU
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/list,JOB1001FU07,Software Provisioning Job 상세,소프트웨어 설치시 실패된 소프트웨어 정보 확인이 가능하며 재실행 가능. 설치 진행중인 소프트웨어에 대해서 중단도 가능,RUD
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/edit/jobId/*job-id*,JOB1001FU08,Software Provisioning Job 수정,"설치상태가 Ready, Scheduled 일 경우에만 수정 가능",U
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/execute,JOB1001PU09,Password Confirmation,소프트웨어 설치 실행시 패스워드 확인 팝업,C
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/searchSoftwareOS,JOB1001PU10,OS Search,OS 조회 팝업,R
Jobs,JOB,SW Provisioning,JOB10,,,jobs/sw/errorScript,JOB1001PU11,Progress Information,스크립트오류 팝업,R
Jobs,JOB,Clean-up,JOB20,,,jobs/cu/searchDetail,JOB2001PQ02,Clean-up 검색,검색 필터링,
Jobs,JOB,Clean-up,JOB20,,,jobs/cu/add,JOB2001FU04,Clean-up Job 등록,제거대상 노드 선택 및 삭세할 소프트웨어 선택 후 등록가능,C
Jobs,JOB,Clean-up,JOB20,,,jobs/cu/list,JOB2001FU05,Clean-up Job 상세,소프트웨어 Clean-up 단건 조회로 제거 실패시 실패한 노드들만 재실행 가능 및 수정페이지 이동,RUD
Jobs,JOB,Clean-up,JOB20,,,jobs/cu/edit/jobId/*job-id*,JOB2001FU06,Clean-up Job 수정,제거상태가 Ready일 경우에만 수정 가능,U
